entity;entity2;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions;Kolom1;Kolom2
average;;#DELING.DOOR.0!;;;;;#DELING.DOOR.0!;#DELING.DOOR.0!
deck;gate;50;1427;2061;793;724;0,35;0,91
deck;echo;39;1321;2061;581;522;0,25;0,90
deck;igor;33;1267;2061;473;420;0,20;0,89
clouddriver;echo;40;1257;1933;581;514;0,27;0,88
clouddriver;fiat;25;1134;1933;334;294;0,15;0,88
deck;fiat;24;1198;2061;334;294;0,14;0,88
deck;keel;43;1366;2061;670;589;0,29;0,88
deck;orca;77;1846;2061;1630;1424;0,69;0,87
deck;front50;37;1319;2061;576;496;0,24;0,86
clouddriver;igor;33;1203;1933;473;407;0,21;0,86
clouddriver;gate;49;1363;1933;793;680;0,35;0,86
clouddriver;front50;39;1255;1933;576;491;0,25;0,85
deck;kayenta;25;1208;2061;355;302;0,15;0,85
clouddriver;kayenta;25;1144;1933;355;297;0,15;0,84
deck;rosco;25;1215;2061;368;306;0,15;0,83
clouddriver;orca;76;1782;1933;1630;1355;0,70;0,83
clouddriver;rosco;26;1151;1933;368;301;0,16;0,82
clouddriver;keel;41;1302;1933;670;537;0,28;0,80
orca;rosco;28;999;1630;368;284;0,17;0,77
clouddriver;clouddriver;79;1997;1933;2061;1582;0,82;0,77
gate;igor;39;633;793;473;249;0,31;0,53
echo;fiat;36;458;581;334;165;0,28;0,49
echo;igor;42;527;581;473;223;0,38;0,47
gate;kayenta;28;574;793;355;166;0,21;0,47
gate;rosco;28;581;793;368;166;0,21;0,45
front50;igor;36;525;576;473;192;0,33;0,41
echo;rosco;31;475;581;368;148;0,25;0,40
echo;kayenta;29;468;581;355;140;0,24;0,39
gate;orca;52;1212;793;1630;638;0,80;0,39
front50;rosco;30;472;576;368;144;0,25;0,39
igor;rosco;33;421;473;368;139;0,29;0,38
gate;keel;34;732;793;670;253;0,32;0,38
echo;front50;36;579;581;576;213;0,37;0,37
front50;gate;42;685;576;793;288;0,50;0,36
echo;gate;41;687;581;793;286;0,49;0,36
echo;keel;37;626;581;670;232;0,40;0,35
igor;kayenta;28;414;473;355;120;0,25;0,34
front50;kayenta;24;466;576;355;114;0,20;0,32
keel;rosco;21;519;670;368;113;0,17;0,31
echo;orca;44;1106;581;1630;490;0,84;0,30
fiat;igor;33;404;334;473;134;0,40;0,28
front50;keel;30;623;576;670;188;0,33;0,28
fiat;rosco;29;351;334;368;103;0,31;0,28
front50;orca;40;1103;576;1630;450;0,78;0,28
keel;orca;38;1150;670;1630;446;0,67;0,27
fiat;kayenta;27;345;334;355;96;0,29;0,27
fiat;front50;34;455;334;576;155;0,46;0,27
igor;keel;30;572;473;670;175;0,37;0,26
fiat;gate;34;564;334;793;196;0,59;0,25
kayenta;keel;32;513;355;670;164;0,46;0,24
igor;orca;37;1052;473;1630;394;0,83;0,24
kayenta;rosco;22;362;355;368;83;0,23;0,23
fiat;keel;29;502;334;670;146;0,44;0,22
kayenta;orca;28;993;355;1630;284;0,80;0,17
fiat;orca;26;982;334;1630;265;0,79;0,16
