entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions
clouddriver;deck;92;2391;2420;2362;2214
deck;orca;90;2272;2362;2181;2061
clouddriver;orca;89;2301;2420;2181;2068
gate;orca;74;1805;1428;2181;1347
deck;gate;73;1895;2362;1428;1389
clouddriver;gate;71;1924;2420;1428;1375
echo;orca;63;1644;1106;2181;1036
echo;gate;63;1267;1106;1428;803
deck;echo;61;1734;2362;1106;1069
front50;orca;61;1645;1108;2181;1012
clouddriver;front50;60;1764;2420;1108;1063
clouddriver;echo;60;1763;2420;1106;1073
front50;gate;60;1268;1108;1428;764
deck;front50;59;1735;2362;1108;1027
igor;orca;59;1577;972;2181;931
gate;igor;59;1200;1428;972;708
echo;igor;59;1039;1106;972;622
deck;igor;56;1667;2362;972;940
clouddriver;igor;55;1696;2420;972;949
deck;keel;54;1652;2362;942;907
echo;front50;54;1107;1106;1108;602
front50;igor;54;1040;1108;972;562
clouddriver;keel;53;1681;2420;942;900
keel;orca;52;1562;942;2181;814
echo;keel;51;1024;1106;942;532
fiat;gate;50;1051;674;1428;530
echo;fiat;50;890;1106;674;452
fiat;front50;49;891;674;1108;444
igor;rosco;49;865;972;757;424
kayenta;keel;49;817;691;942;406
gate;keel;48;1185;1428;942;576
echo;rosco;48;932;1106;757;448
fiat;igor;48;823;674;972;402
orca;rosco;47;1469;2181;757;693
gate;rosco;47;1093;1428;757;517
front50;rosco;47;933;1108;757;444
echo;kayenta;47;899;1106;691;427
fiat;kayenta;47;683;674;691;323
gate;kayenta;46;1060;1428;691;489
igor;keel;46;957;972;942;445
igor;kayenta;46;832;972;691;386
fiat;keel;46;808;674;942;375
clouddriver;rosco;45;1589;2420;757;722
deck;rosco;45;1560;2362;757;714
kayenta;orca;45;1436;691;2181;654
fiat;orca;44;1428;674;2181;629
clouddriver;kayenta;42;1556;2420;691;660
clouddriver;fiat;42;1547;2420;674;650
deck;kayenta;42;1527;2362;691;650
front50;keel;42;1025;1108;942;440
fiat;rosco;42;716;674;757;307
deck;fiat;41;1518;2362;674;637
front50;kayenta;39;900;1108;691;358
kayenta;rosco;37;724;691;757;269
keel;rosco;35;850;942;757;298
